Neutral,TCG,E,G(gas)=TCG+E,dG(sol)
a1,0.043924,-230.103291,-230.059367,-1.85
a2,0.039644,-553.091679,-553.052035,-2.85
a3,0.081655,-249.565554,-249.483899,-1.64
a4,0.123395,-344.221083,-344.097688,0.45
a5,0.070336,-265.619103,-265.548767,-5.92
a6,0.028211,-569.139945,-569.111734,-5.08
a7,0.032581,-246.15685,-246.124269,-4.48
a8,0.070076,-265.604628,-265.534552,-3.73
a9,0.123392,-344.260997,-344.137605,-1.03
a10,0.028136,-569.136664,-569.108528,-5.31
a11,0.031935,-246.120564,-246.088629,-5.12
a12,0.11255,-360.317302,-360.204752,-4.13
a13,0.172107,-556.192292,-556.020185,1.94
a14,0.160384,-572.224231,-572.063847,-0.19
a15,0.160577,-572.242851,-572.082274,-0.95
b1,0.073305,-232.3268163,-232.2535113,-0.67
b2,0.061634,-248.3672875,-248.3056535,-3.11
b3,0.048968,-264.3745044,-264.3255364,-6.92
b4,0.049916,-264.4106342,-264.3607182,-4.78
b5,0.049697,-264.4040257,-264.3543287,-4.04
b6,0.038232,-280.4567187,-280.4184867,-5.53
b7,0.0361,-280.3879085,-280.3518085,-8.73
b8,0.037022,-280.4138576,-280.3768356,-6.79
b9,0.063783,-331.600527,-331.536744,-0.86
b10,0.069163,-324.598351,-324.529188,-3.99
b11,0.071781,-436.9026061,-436.8308251,-4.23
b12,0.102253,-309.7516856,-309.6494326,-0.14
b13,0.07153,-569.4933515,-569.4218215,-0.22
b14,0.0543,-430.8671156,-430.8128156,-1.17
b15,0.054311,-430.8730893,-430.8187783,-0.75
b16,0.060728,-428.5472236,-428.486496,-1.02
b17,0.03145,-725.1763212,-725.144871,-0.9
b18,0.044773,-530.1327056,-530.0879326,-1.2
b19,0.044775,-530.1377591,-530.0929841,-1.05
b20,0.044806,-530.1443961,-530.0995901,-0.36
b21,0.035219,-629.3966392,-629.3614202,-1.19
b22,0.035254,-629.4022108,-629.3669568,-0.78
b23,0.035249,-629.4015818,-629.3663328,-1.06
c1,0.124929,-403.2598695,-403.1349405,-1.48
c2,0.125057,-403.2459995,-403.1209425,-2.36
c3,0.083361,-706.7860437,-706.7026827,-2.83
c4,0.08288,-706.7696758,-706.6867958,-2.73
c5,0.08752,-383.7999336,-383.7124136,-1.87
c6,0.08706,-383.7769134,-383.6898534,-1.93
c7,0.0993,-363.9182766,-363.8189766,-2.1
c8,0.090608,-451.4048173,-451.3142093,-7.51
c9,0.076138,-399.8542564,-399.7781184,-3.93
c10,0.071883,-722.8363105,-722.7644275,-4.54
c11,0.114319,-419.3147755,-419.2004565,-5.3
c12,0.113464,-419.2930717,-419.1796077,-2.37
c13,0.071735,-722.828119,-722.756384,-4.85
c14,0.07537,-399.8130119,-399.7376419,-4.49
d1,0.116639,-386.0148104,-385.8981714,-0.8
d2,0.104912,-402.0574292,-401.9525172,-2.91
d3,0.104947,-402.0556158,-401.9506688,-3.03
d4,0.092969,-418.0963648,-418.0033958,-3.53
d5,0.09229,-418.0635654,-417.9712754,-5.55
d6,0.09232,-418.0654773,-417.9731573,-7.17
d7,0.093227,-418.1014961,-418.0082691,-4.49
d8,0.069345,-450.1774009,-450.1080559,-8.46
