name_paper,pka_paper
a1-2,35.0
a1-3,38.5
a2-2,33.5
a2-3,39.1
a3-2,39.6
a3-3,44.7
a4-2,38.8
a4-3,43.5
a5-2,35.2
a5-4,42.3
a5-5,35.1
a6-2,29.5
a6-4,36.8
a6-5,29.6
a7-2,27.1
a7-4,36.4
a7-5,30.6
a8-3,39.6
a8-4,40.7
a8-5,34.9
a9-3,40.5
a9-4,40.7
a9-5,35.2
a10-3,32.7
a10-4,35.8
a10-5,28.1
a11-3,31.9
a11-4,34.0
a11-5,27.7
a12-3,35.8
a12-5,30.4
a13-2,35.4
a13-3,40.4
a14-3,38.3
a14-4,37.2
a14-5,32.2
a15-2,32.2
a15-4,38.8
a15-5,32.6
b1-1,44.7
b2-2,43.6
b2-3,41.0
b2-4,40.3
b3-3,37.9
b3-4,35.8
b4-2,40.0
b4-4,38.9
b4-5,36.9
b5-2,39.4
b6-1,34.9
b7-4,33.0
b7-5,31.1
b8-3,34.4
b8-5,33.5
b8-6,33.1
b9-2,36.8
b9-3,42.3
b9-4,43.7
b10-2,38.2
b10-3,40.5
b10-4,40.9
b11-2,36.2
b11-3,39.9
b11-4,40.1
b12-2,44.3
b12-3,43.3
b12-4,44.2
b13-2,39.7
b13-3,41.7
b13-4,41.9
b14-4,41.7
b14-6,33.9
b15-2,28.7
b15-4,35.8
b15-5,39.9
b16-2,40.1
b17-6,29.0
b18-4,33.2
b18-5,39.4
b19-3,26.1
b19-5,33.8
b19-6,31.5
b20-2,27.6
b21-5,30.6
b22-4,25.0
b23-3,23.1
c1-2,37.7
c1-3,41.4
c1-4,44.8
c1-5,46.5
c1-6,46.3
c1-7,42.1
c2-1,37.7
c2-4,44.7
c2-5,47.1
c3-2,32.0
c3-3,36.8
c3-4,43.0
c3-5,44.7
c3-6,43.8
c3-7,40.3
c4-1,31.8
c4-4,43.4
c4-5,45.1
c5-2,33.3
c5-3,36.0
c5-4,42.6
c5-5,44.7
c5-6,43.7
c5-7,38.1
c6-1,33.1
c6-4,42.1
c6-5,44.8
c7-1,42.0
c7-2,41.5
c7-3,37.0
c7-5,36.2
c7-6,41.5
c7-7,43.4
c7-8,40.7
c8-2,40.3
c8-6,37.3
c8-8,29.3
c9-2,24.8
c9-4,36.2
c9-5,42.4
c9-6,43.2
c9-7,39.7
c10-2,27.3
c10-4,38.9
c10-5,42.6
c10-6,43.3
c10-7,40.6
c11-2,32.5
c11-4,42.1
c11-5,44.8
c11-6,44.6
c11-7,40.0
c12-3,36.3
c12-4,42.4
c12-5,45.1
c12-6,44.3
c12-7,40.2
c13-3,32.7
c13-4,40.5
c13-5,43.3
c13-6,42.3
c13-7,38.9
c14-3,28.1
c14-4,39.5
c14-5,42.8
c14-6,41.4
c14-7,36.3
d1-1,43.4
d1-2,43.8
d2-2,42.4
d2-3,40.5
d2-4,39.2
d2-5,41.6
d2-6,42.6
d2-7,42.3
d2-8,42.3
d3-1,41.6
d3-3,43.6
d3-4,40.0
d3-5,41.5
d3-6,42.1
d3-7,42.3
d3-8,41.2
d4-2,38.5
d4-5,40.1
d4-6,40.7
d5-3,39.0
d5-4,35.0
d5-5,39.1
d5-6,40.3
d5-7,40.0
d5-8,39.6
d6-1,36.1
d6-5,38.8
d6-6,40.2
d7-2,39.7
d7-4,37.3
d7-5,39.1
d7-6,40.9
d7-7,40.3
d7-8,40.0
d8-2,36.1
d8-4,33.5
d8-6,34.6
d8-7,34.4
